Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,3,1,Some Random Commen with Id 0
1,1,5,79,0,Some Random Commen with Id 1
2,1,5,0,3,Some Random Commen with Id 2
3,1,5,35,5,Some Random Commen with Id 3
4,1,5,16,1,Some Random Commen with Id 4
5,1,5,57,0,Some Random Commen with Id 5
6,1,5,28,4,Some Random Commen with Id 6
7,1,5,97,0,Some Random Commen with Id 7
8,2,5,181,6,Some Random Commen with Id 8
9,2,5,181,2,Some Random Commen with Id 9
10,2,5,38,9,Some Random Commen with Id 10
11,2,5,131,1,Some Random Commen with Id 11
12,2,5,61,3,Some Random Commen with Id 12
13,2,5,149,2,Some Random Commen with Id 13
14,2,5,19,5,Some Random Commen with Id 14
15,3,8,177,8,Some Random Commen with Id 15
16,3,8,122,4,Some Random Commen with Id 16
17,3,8,20,9,Some Random Commen with Id 17
18,4,6,56,1,Some Random Commen with Id 18
19,4,6,147,7,Some Random Commen with Id 19
20,4,6,133,7,Some Random Commen with Id 20
21,6,7,33,9,Some Random Commen with Id 21
22,6,7,47,0,Some Random Commen with Id 22
23,7,2,95,7,Some Random Commen with Id 23
24,7,2,135,5,Some Random Commen with Id 24
25,7,2,59,5,Some Random Commen with Id 25
26,7,2,180,1,Some Random Commen with Id 26
27,7,2,163,3,Some Random Commen with Id 27
28,7,2,35,7,Some Random Commen with Id 28
29,7,2,29,0,Some Random Commen with Id 29
30,7,2,179,8,Some Random Commen with Id 30
31,7,2,111,5,Some Random Commen with Id 31
32,8,2,18,8,Some Random Commen with Id 32
33,8,2,172,1,Some Random Commen with Id 33
34,8,2,74,6,Some Random Commen with Id 34
35,8,2,47,7,Some Random Commen with Id 35
36,8,2,25,4,Some Random Commen with Id 36
37,8,2,114,2,Some Random Commen with Id 37
38,8,2,36,0,Some Random Commen with Id 38
39,8,2,52,6,Some Random Commen with Id 39
40,8,2,102,4,Some Random Commen with Id 40
41,9,2,56,1,Some Random Commen with Id 41
42,9,2,118,1,Some Random Commen with Id 42
43,9,2,138,5,Some Random Commen with Id 43
44,9,2,189,7,Some Random Commen with Id 44
45,9,2,43,4,Some Random Commen with Id 45
46,9,2,77,9,Some Random Commen with Id 46
47,10,7,73,8,Some Random Commen with Id 47
48,10,7,154,4,Some Random Commen with Id 48
49,10,7,9,8,Some Random Commen with Id 49
50,10,7,18,2,Some Random Commen with Id 50
51,11,5,87,8,Some Random Commen with Id 51
52,11,5,54,0,Some Random Commen with Id 52
53,11,5,79,6,Some Random Commen with Id 53
54,11,5,127,5,Some Random Commen with Id 54
55,12,5,96,0,Some Random Commen with Id 55
56,13,7,179,4,Some Random Commen with Id 56
57,13,7,151,2,Some Random Commen with Id 57
58,13,7,159,3,Some Random Commen with Id 58
59,14,0,18,2,Some Random Commen with Id 59
60,14,0,28,1,Some Random Commen with Id 60
61,14,0,20,0,Some Random Commen with Id 61
62,14,0,93,1,Some Random Commen with Id 62
63,14,0,70,7,Some Random Commen with Id 63
64,14,0,37,1,Some Random Commen with Id 64
65,15,5,36,7,Some Random Commen with Id 65
66,15,5,91,6,Some Random Commen with Id 66
67,15,5,53,3,Some Random Commen with Id 67
68,15,5,53,6,Some Random Commen with Id 68
69,15,5,16,0,Some Random Commen with Id 69
70,15,5,144,8,Some Random Commen with Id 70
71,15,5,199,3,Some Random Commen with Id 71
72,15,5,117,3,Some Random Commen with Id 72
73,15,5,46,8,Some Random Commen with Id 73
74,16,7,196,0,Some Random Commen with Id 74
75,16,7,99,1,Some Random Commen with Id 75
76,16,7,54,6,Some Random Commen with Id 76
77,17,0,194,4,Some Random Commen with Id 77
78,18,1,184,4,Some Random Commen with Id 78
79,19,1,77,5,Some Random Commen with Id 79
80,19,1,96,0,Some Random Commen with Id 80
81,19,1,73,3,Some Random Commen with Id 81
82,20,4,89,4,Some Random Commen with Id 82
83,20,4,187,9,Some Random Commen with Id 83
84,20,4,159,5,Some Random Commen with Id 84
85,20,4,9,1,Some Random Commen with Id 85
86,22,4,128,2,Some Random Commen with Id 86
87,22,4,160,3,Some Random Commen with Id 87
88,22,4,49,7,Some Random Commen with Id 88
89,22,4,70,1,Some Random Commen with Id 89
90,22,4,39,6,Some Random Commen with Id 90
91,22,4,80,8,Some Random Commen with Id 91
92,23,0,127,0,Some Random Commen with Id 92
93,23,0,135,5,Some Random Commen with Id 93
94,23,0,88,2,Some Random Commen with Id 94
95,23,0,46,1,Some Random Commen with Id 95
96,25,1,127,5,Some Random Commen with Id 96
97,26,1,169,3,Some Random Commen with Id 97
98,26,1,121,0,Some Random Commen with Id 98
99,27,0,150,2,Some Random Commen with Id 99
100,27,0,39,5,Some Random Commen with Id 100
101,27,0,173,1,Some Random Commen with Id 101
102,27,0,127,6,Some Random Commen with Id 102
103,27,0,99,2,Some Random Commen with Id 103
104,27,0,116,2,Some Random Commen with Id 104
105,27,0,44,1,Some Random Commen with Id 105
106,28,8,165,5,Some Random Commen with Id 106
107,28,8,166,6,Some Random Commen with Id 107
108,28,8,196,8,Some Random Commen with Id 108
109,28,8,97,7,Some Random Commen with Id 109
110,28,8,131,4,Some Random Commen with Id 110
111,29,5,132,3,Some Random Commen with Id 111
112,29,5,54,5,Some Random Commen with Id 112
113,29,5,158,9,Some Random Commen with Id 113
114,29,5,194,5,Some Random Commen with Id 114
115,32,5,100,3,Some Random Commen with Id 115
116,32,5,165,6,Some Random Commen with Id 116
117,32,5,13,8,Some Random Commen with Id 117
118,32,5,96,0,Some Random Commen with Id 118
119,33,7,32,8,Some Random Commen with Id 119
120,33,7,84,9,Some Random Commen with Id 120
121,33,7,17,1,Some Random Commen with Id 121
122,34,8,77,9,Some Random Commen with Id 122
123,34,8,142,2,Some Random Commen with Id 123
124,34,8,141,4,Some Random Commen with Id 124
125,34,8,171,1,Some Random Commen with Id 125
126,35,6,46,0,Some Random Commen with Id 126
127,35,6,7,4,Some Random Commen with Id 127
128,35,6,11,7,Some Random Commen with Id 128
129,35,6,135,5,Some Random Commen with Id 129
130,35,6,114,6,Some Random Commen with Id 130
131,35,6,99,4,Some Random Commen with Id 131
132,35,6,153,6,Some Random Commen with Id 132
133,35,6,117,9,Some Random Commen with Id 133
134,36,3,16,9,Some Random Commen with Id 134
135,36,3,62,9,Some Random Commen with Id 135
136,36,3,136,5,Some Random Commen with Id 136
137,36,3,34,3,Some Random Commen with Id 137
138,36,3,126,5,Some Random Commen with Id 138
139,38,5,100,9,Some Random Commen with Id 139
140,38,5,136,0,Some Random Commen with Id 140
141,38,5,180,6,Some Random Commen with Id 141
142,38,5,164,3,Some Random Commen with Id 142
143,38,5,87,9,Some Random Commen with Id 143
144,38,5,51,6,Some Random Commen with Id 144
145,39,7,31,8,Some Random Commen with Id 145
146,39,7,106,4,Some Random Commen with Id 146
147,39,7,37,1,Some Random Commen with Id 147
148,39,7,6,7,Some Random Commen with Id 148
149,39,7,64,8,Some Random Commen with Id 149
150,39,7,152,8,Some Random Commen with Id 150
151,39,7,174,8,Some Random Commen with Id 151
